# Timestep     No_Moles     No_Specs     Pt1536	H2O	
674          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H2O	
774          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H2O	
874          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536H2O	
974          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1536H2O	
1074          1          1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1174          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1274          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1374          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1474          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1574          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1674          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1774          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1874          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1974          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
2074          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
2174          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
2274          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
2374          2          2	 1	 1	
