# Timestep     No_Moles     No_Specs     Pt1536	H	O	
708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1108          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1208          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1308          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1408          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1508          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1608          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1708          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1808          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1908          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
2008          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
2108          3          2	 1	 2	
