# Timestep     No_Moles     No_Specs     Pt1536	H	O	
708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1408          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1508          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536HO	H	
1608          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1708          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2408          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2508          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2608          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3408          4          3	 1	 2	 1	
