         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   25.060   25.060 /Users/patrykkozlowski/caltech/classes/caltech/f23/ch121b/gan/dft/dzvp/222/6/trotting.py:12(main)
        1    0.000    0.000   25.003   25.003 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:671(get_bands)
        1    0.000    0.000   25.001   25.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:66(get_hcore)
        1    1.960    1.960   25.000   25.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/df/fft.py:65(get_pp)
        5    0.356    0.071   13.718    2.744 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/df/fft.py:243(aoR_loop)
        5    0.001    0.000    9.940    1.988 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/numint.py:1144(block_loop)
        4    0.001    0.000    9.922    2.480 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/numint.py:70(eval_ao_kpts)
        4    9.429    2.357    9.920    2.480 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/eval_gto.py:31(eval_gto)
       34    0.002    0.000    6.983    0.205 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:772(dot)
       28    0.001    0.000    6.825    0.244 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:717(zdot)
       28    6.823    0.244    6.824    0.244 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:862(_zgemm)
        1    0.001    0.001    3.422    3.422 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/gen_grid.py:101(build)
        1    0.001    0.001    3.412    3.412 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/gen_grid.py:130(make_mask)
        1    3.403    3.403    3.411    3.411 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/gen_grid.py:32(make_mask)
       59    2.142    0.036    2.142    0.036 {method 'conj' of 'numpy.ndarray' objects}
      418    0.478    0.001    0.478    0.001 {built-in method numpy.asarray}
        6    0.000    0.000    0.156    0.026 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/lib/numpy_helper.py:682(ddot)
